ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10
37.90625,39.4375,21.0625,31.0625,25.9375,7.9375,15.46875,33.5625,15.34375,12.28125
39.34375,38.53125,21.65625,29.25,26.8125,7.59375,13.75,33.96875,15.4375,13.65625
38.6875,38.53125,20.84375,30.65625,26.96875,7.78125,13.9375,33.65625,15.96875,12.96875
38.8125,39.46875,20.875,30.40625,27.625,6.46875,14.6875,33.5,15.53125,12.625
38.8125,39.0625,21.96875,30.09375,25.9375,8.03125,15.3125,33.40625,15.1875,12.1875
38.21875,39.09375,20.90625,30.375,27.34375,8.125,14.65625,32.9375,15.65625,12.6875
40.0625,39.0625,21.125,30.625,27.3125,7.78125,14.75,32.78125,15.375,11.125
37.96875,39.78125,20.90625,31.5,27.3125,8.21875,14.0625,33.59375,15.0,11.65625
39.5625,39.375,21.65625,29.0,26.1875,8.875,14.0,34.40625,16.0625,10.875
37.875,39.5,21.53125,30.75,26.6875,7.8125,14.09375,33.84375,15.5625,12.34375
38.15625,39.03125,22.15625,29.8125,26.75,7.5625,14.59375,34.03125,15.375,12.53125
39.59375,38.40625,21.84375,30.0,26.125,8.3125,14.0625,34.4375,15.34375,11.875
38.875,39.15625,21.4375,30.53125,27.6875,7.65625,13.8125,33.28125,15.4375,12.125
37.4375,39.75,21.28125,30.53125,27.84375,7.4375,14.375,33.28125,15.3125,12.75
38.4375,37.6875,21.09375,30.09375,27.15625,8.0,15.5,34.15625,16.03125,11.84375
39.53125,39.3125,21.46875,30.625,26.8125,8.34375,14.25,32.0,15.28125,12.375
38.1875,39.15625,21.96875,29.8125,28.1875,7.5625,14.25,33.8125,15.75,11.3125
40.15625,38.71875,21.5625,29.9375,26.0625,7.71875,13.71875,33.90625,15.3125,12.90625
39.65625,39.46875,20.8125,30.28125,27.5625,7.90625,14.4375,33.0625,14.875,11.9375
39.21875,38.25,21.59375,30.8125,27.5,8.21875,13.8125,33.0,15.75,11.84375
38.09375,39.75,21.65625,29.59375,27.4375,7.21875,14.15625,34.1875,15.875,12.03125
39.25,39.53125,22.1875,29.84375,27.0625,8.21875,14.34375,32.0625,15.09375,12.40625
39.71875,38.5,21.375,30.375,28.125,7.8125,13.9375,32.53125,15.90625,11.71875
40.375,38.75,22.1875,30.625,27.46875,7.84375,12.65625,32.21875,15.46875,12.40625
39.5,39.28125,20.53125,30.28125,26.8125,7.5625,15.59375,32.4375,15.625,12.375
40.25,40.9375,21.28125,30.125,26.125,8.0625,12.8125,33.3125,14.875,12.21875
