ma1,ma2,ma3,ma4,ma5,ma6
6.25,13.46875,9.0,8.125,10.65625,10.5
6.6875,14.03125,8.9375,8.34375,10.15625,9.84375
6.9375,13.78125,8.90625,7.75,10.40625,10.21875
6.6875,13.40625,8.625,8.25,10.09375,10.9375
6.59375,14.15625,7.9375,8.25,9.71875,11.34375
6.59375,13.90625,8.53125,7.65625,9.9375,11.375
6.0,14.40625,8.09375,8.21875,10.21875,11.0625
5.78125,14.3125,8.21875,8.40625,10.65625,10.625
6.15625,13.46875,9.3125,7.8125,10.40625,10.84375
6.96875,14.15625,8.21875,7.6875,10.15625,10.8125
6.28125,13.40625,9.125,8.34375,10.65625,10.1875
6.75,13.8125,8.6875,7.71875,10.0625,10.96875
6.03125,13.8125,8.65625,7.25,11.40625,10.84375
6.09375,14.21875,9.09375,7.46875,10.75,10.375
6.34375,13.75,9.375,7.40625,10.25,10.875
6.375,14.0625,8.4375,7.71875,10.5625,10.84375
6.03125,13.46875,8.875,8.40625,10.34375,10.875
6.03125,14.40625,7.8125,7.6875,10.90625,11.15625
6.09375,14.1875,9.0625,7.4375,9.84375,11.375
6.875,14.0,7.5625,8.53125,9.96875,11.0625
6.03125,14.09375,8.28125,8.15625,10.40625,11.03125
6.25,13.8125,8.625,7.96875,10.84375,10.5
5.875,14.09375,9.25,7.75,10.40625,10.625
6.875,14.15625,8.6875,7.53125,9.375,11.375
6.34375,14.03125,9.15625,7.5625,10.59375,10.3125
6.34375,13.71875,8.28125,8.0625,10.78125,10.8125
6.5625,13.78125,8.4375,8.25,10.21875,10.75
5.46875,13.4375,9.34375,8.3125,10.15625,11.28125
6.0,13.59375,8.15625,8.5625,11.28125,10.40625
6.5,13.84375,8.9375,7.53125,10.28125,10.90625
6.03125,14.4375,8.78125,7.15625,10.78125,10.8125
6.46875,13.6875,8.6875,8.03125,10.1875,10.9375
6.90625,13.75,7.53125,8.0625,10.4375,11.3125
7.125,13.59375,8.71875,8.34375,9.125,11.09375
7.25,12.34375,9.9375,7.59375,10.1875,10.6875
6.65625,13.59375,8.5,7.96875,11.0,10.28125
6.625,13.3125,8.84375,8.1875,10.40625,10.625
6.03125,14.40625,8.375,7.625,10.78125,10.78125
6.28125,13.84375,8.625,8.09375,10.09375,11.0625
6.21875,13.8125,9.3125,7.8125,9.625,11.21875
6.40625,13.21875,8.90625,8.0625,10.78125,10.625
6.15625,13.46875,8.78125,8.09375,9.96875,11.53125
6.6875,14.0625,8.21875,8.4375,10.03125,10.5625
6.53125,14.25,8.4375,7.65625,9.9375,11.1875
7.0,13.75,8.65625,8.15625,9.5,10.9375
6.75,13.6875,8.375,7.8125,9.59375,11.78125
6.71875,14.65625,8.28125,7.8125,10.03125,10.5
6.9375,13.875,8.84375,6.9375,10.3125,11.09375
6.75,13.75,8.5,8.03125,10.4375,10.53125
6.125,14.15625,8.28125,7.96875,10.375,11.09375
6.4375,14.15625,8.59375,7.5625,10.5,10.75
6.875,13.09375,8.40625,8.46875,10.1875,10.96875
5.96875,14.5625,8.375,8.125,10.28125,10.6875
6.9375,13.53125,8.8125,7.1875,9.78125,11.75
6.34375,13.71875,7.90625,8.25,10.3125,11.46875
6.6875,14.375,8.3125,8.09375,10.25,10.28125
5.78125,14.15625,9.34375,8.09375,10.21875,10.40625
6.0,14.4375,8.34375,7.625,9.78125,11.8125
6.28125,13.59375,8.21875,7.9375,11.0625,10.90625
6.59375,13.9375,8.53125,7.65625,10.3125,10.96875
7.03125,13.6875,8.78125,8.0,9.9375,10.5625
6.6875,14.0625,8.78125,7.4375,9.4375,11.59375
6.9375,13.46875,8.34375,7.28125,11.03125,10.9375
5.96875,14.1875,8.78125,7.90625,10.71875,10.4375
6.0,14.375,8.625,7.875,10.375,10.75
6.53125,14.25,8.71875,8.21875,10.1875,10.09375
6.71875,14.4375,8.5625,7.5,10.1875,10.59375
6.46875,12.65625,8.25,8.3125,10.875,11.4375
6.71875,13.59375,8.875,8.03125,10.46875,10.3125
6.5625,13.78125,8.4375,8.1875,10.65625,10.375
6.5625,13.59375,8.28125,7.90625,10.125,11.53125
6.25,13.96875,8.90625,7.46875,10.9375,10.46875
6.3125,13.25,8.25,8.53125,10.59375,11.0625
6.625,14.28125,8.625,8.34375,9.4375,10.6875
6.875,13.75,8.84375,8.5,10.125,9.90625
6.875,12.5,8.625,8.5,10.125,11.375
6.28125,14.3125,8.40625,8.53125,10.1875,10.28125
7.375,14.09375,7.40625,8.0,10.125,11.0
6.40625,13.53125,8.65625,8.15625,10.4375,10.8125
