min_makespan,avg_makespan,max_makespan,elapsed,total_errors,total_error,total_error_p,multi_p,seq_p,infeas_rate,multi_rate,seq_rate,amf_infeas,amt_infeas_p,total_errors_fix,total_error_fix,total_error_p_fix,multi_p_fix,seq_p_fix,infeas_rate_fix,multi_rate_fix,seq_rate_fix,amf_infeas_fix,amt_infeas_p_fix
55.0,71.03125,83.0,7.073280218988657,23,23,0.71875,0.0,0.71875,0.01306818181818182,0.0,0.01306818181818182,11,34.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
55.0,71.5625,92.0,7.293440009932965,21,21,0.65625,0.0,0.65625,0.011931818181818184,0.0,0.011931818181818184,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
58.0,72.78125,88.0,6.710720855044201,18,18,0.5625,0.0,0.5625,0.010227272727272729,0.0,0.010227272727272729,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
56.0,72.0,91.0,7.220016954932362,24,24,0.75,0.0,0.75,0.01363636363636364,0.0,0.01363636363636364,12,37.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
59.0,74.21875,89.0,6.882676325971261,27,27,0.84375,0.0,0.84375,0.015340909090909094,0.0,0.015340909090909094,9,28.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
57.0,73.5,100.0,6.481573968892917,17,17,0.53125,0.0,0.53125,0.00965909090909091,0.0,0.00965909090909091,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
62.0,72.96875,90.0,6.971645701909438,21,21,0.65625,0.0,0.65625,0.011931818181818184,0.0,0.011931818181818184,13,40.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
53.0,72.96875,89.0,6.69517326191999,17,17,0.53125,0.0,0.53125,0.00965909090909091,0.0,0.00965909090909091,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
62.0,73.875,88.0,7.31305588898249,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
58.0,71.8125,88.0,6.700141425943002,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
