ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10,ma11,ma12,ma13,ma14,ma15
21.34375,40.125,13.96875,15.71875,25.84375,19.4375,25.6875,12.0,24.03125,36.125,0.0,0.0,5.71875,0.0,0.0
22.4375,37.46875,13.03125,16.375,27.34375,18.71875,27.25,12.71875,25.46875,33.96875,0.0,0.0,5.21875,0.0,0.0
21.875,39.875,12.71875,15.59375,26.8125,18.21875,26.40625,12.15625,24.1875,36.65625,0.0,0.0,5.5,0.0,0.0
21.4375,39.4375,12.40625,14.78125,26.59375,19.90625,27.96875,12.0,24.875,35.28125,0.0,0.0,5.3125,0.0,0.0
21.0,39.0,14.125,14.78125,26.34375,19.34375,27.0,11.84375,25.15625,35.9375,0.0,0.0,5.46875,0.0,0.0
21.53125,39.34375,13.875,15.53125,26.875,19.5625,25.875,11.75,24.3125,35.9375,0.0,0.0,5.40625,0.0,0.0
21.34375,39.0625,14.03125,14.9375,26.6875,19.0625,25.09375,12.65625,26.0625,35.75,0.0,0.0,5.3125,0.0,0.0
21.6875,40.0625,13.5625,15.9375,26.40625,20.625,25.90625,12.09375,24.09375,34.65625,0.0,0.0,4.96875,0.0,0.0
21.1875,39.125,13.03125,14.4375,27.0625,18.625,26.90625,12.28125,26.0625,35.90625,0.0,0.0,5.375,0.0,0.0
21.625,39.65625,14.09375,15.09375,27.0,18.46875,26.125,11.875,25.09375,35.8125,0.0,0.0,5.15625,0.0,0.0
22.0625,39.5625,13.15625,14.5625,26.9375,19.53125,26.4375,12.40625,25.09375,35.0625,0.0,0.0,5.1875,0.0,0.0
20.8125,40.3125,13.90625,15.4375,25.5625,18.8125,26.65625,11.21875,24.59375,37.125,0.0,0.0,5.5625,0.0,0.0
22.03125,39.96875,13.875,14.78125,26.96875,19.46875,27.28125,11.71875,25.4375,33.71875,0.0,0.0,4.75,0.0,0.0
22.9375,39.46875,12.90625,15.125,26.4375,18.90625,25.09375,11.375,25.6875,36.625,0.0,0.0,5.4375,0.0,0.0
22.0,38.09375,14.0,14.34375,27.21875,19.1875,26.5,12.34375,25.78125,35.46875,0.0,0.0,5.0625,0.0,0.0
21.4375,38.53125,13.03125,16.6875,27.65625,18.28125,27.34375,11.96875,24.375,34.875,0.0,0.0,5.8125,0.0,0.0
21.625,39.34375,13.65625,14.0,26.25,19.21875,26.875,13.40625,25.4375,34.90625,0.0,0.0,5.28125,0.0,0.0
21.5,39.09375,13.1875,15.8125,26.15625,18.03125,27.65625,12.25,24.96875,36.0,0.0,0.0,5.34375,0.0,0.0
22.375,38.84375,13.75,14.9375,27.90625,18.96875,26.125,11.75,24.84375,35.4375,0.0,0.0,5.0625,0.0,0.0
21.375,40.84375,13.0625,16.1875,27.03125,18.21875,26.5,11.96875,25.40625,33.625,0.0,0.0,5.78125,0.0,0.0
