ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8
16.78125,2.3125,14.375,13.625,6.03125,20.34375,14.3125,2.21875
16.21875,2.625,13.9375,14.75,5.90625,19.78125,14.71875,2.0625
15.96875,2.5,14.125,13.9375,6.25,20.09375,14.78125,2.34375
16.875,2.40625,14.3125,14.3125,6.0625,19.65625,14.75,1.625
16.4375,2.78125,14.0625,13.84375,6.125,19.71875,14.90625,2.125
16.46875,2.46875,13.875,13.375,6.28125,20.46875,14.96875,2.09375
16.21875,2.5625,14.125,14.15625,6.21875,19.78125,15.0,1.9375
15.96875,2.40625,13.96875,13.375,5.90625,20.875,14.9375,2.5625
16.59375,2.34375,13.125,14.625,5.375,20.3125,15.625,2.0
16.6875,2.96875,13.0,13.34375,6.46875,20.46875,14.78125,2.28125
16.84375,2.625,13.71875,13.71875,5.84375,20.46875,14.9375,1.84375
16.0,2.40625,14.09375,13.125,6.4375,20.53125,15.4375,1.96875
16.0,2.21875,14.15625,14.0625,5.96875,20.5625,14.875,2.15625
16.25,3.03125,13.65625,13.40625,6.125,19.84375,15.0625,2.625
16.1875,2.96875,13.375,14.4375,6.125,19.625,15.1875,2.09375
16.0,2.71875,14.09375,13.125,6.25,20.4375,15.3125,2.0625
15.875,2.59375,14.5,13.0,6.25,20.5,14.96875,2.3125
16.5,2.78125,13.21875,15.0625,6.0,19.625,14.78125,2.03125
16.59375,2.28125,14.6875,13.40625,6.09375,19.78125,15.15625,2.0
16.71875,2.96875,13.40625,14.53125,6.0625,19.75,14.0625,2.5
16.4375,2.5,13.875,13.46875,6.21875,20.1875,14.78125,2.53125
16.875,2.5,13.34375,14.03125,6.28125,20.1875,14.6875,2.09375
16.3125,2.5,13.71875,14.3125,6.1875,19.84375,15.15625,1.96875
16.625,2.875,13.15625,12.875,6.53125,20.8125,14.9375,2.1875
16.59375,2.375,13.5625,14.5,6.3125,19.59375,14.71875,2.34375
16.0625,2.09375,14.21875,15.125,6.4375,19.46875,14.5625,2.03125
16.3125,2.5625,13.5,13.5625,6.0625,20.625,15.21875,2.15625
16.21875,2.6875,13.125,13.96875,6.75,19.65625,15.15625,2.4375
16.34375,2.53125,13.71875,14.0625,6.34375,19.5625,15.21875,2.21875
16.59375,2.3125,13.21875,14.5625,6.03125,19.8125,15.15625,2.3125
16.40625,2.75,13.0625,13.40625,5.9375,20.375,15.4375,2.625
16.34375,2.4375,14.40625,12.84375,6.34375,20.40625,14.875,2.34375
16.53125,2.625,13.78125,14.09375,6.09375,20.03125,14.5,2.34375
15.875,2.5,13.71875,13.46875,5.9375,20.71875,15.46875,2.3125
16.09375,2.125,14.1875,13.96875,5.8125,19.9375,15.6875,2.1875
16.5,2.84375,13.5,13.75,6.40625,19.84375,14.46875,2.6875
16.53125,2.875,13.53125,13.40625,6.125,20.125,15.0625,2.34375
16.9375,2.0,14.15625,14.1875,6.125,19.875,14.6875,2.03125
16.875,2.4375,14.25,12.96875,6.59375,20.125,14.6875,2.0625
16.5625,2.375,13.96875,12.96875,6.46875,20.4375,15.0625,2.15625
16.75,2.25,13.8125,13.5,6.125,20.1875,14.9375,2.4375
16.375,2.0625,13.875,13.84375,6.09375,20.78125,14.65625,2.3125
17.40625,2.96875,12.6875,13.6875,5.34375,21.1875,14.375,2.34375
16.34375,2.71875,13.8125,13.46875,5.96875,20.1875,15.3125,2.1875
16.71875,2.625,13.78125,13.40625,6.53125,20.1875,14.78125,1.96875
16.78125,2.53125,14.375,13.84375,5.625,19.9375,14.625,2.28125
16.5,2.625,14.34375,13.0625,6.59375,20.40625,14.375,2.09375
16.0,2.53125,14.875,13.25,6.25,20.15625,14.875,2.0625
16.59375,2.6875,14.15625,13.0,6.09375,20.34375,15.125,2.0
16.78125,2.9375,14.0,13.34375,6.34375,19.625,14.78125,2.1875
16.3125,2.25,13.46875,15.15625,5.6875,19.65625,15.1875,2.28125
16.0625,3.09375,13.90625,13.15625,6.4375,19.84375,15.03125,2.46875
17.375,2.875,12.8125,14.21875,6.125,20.34375,14.28125,1.96875
15.9375,2.75,14.15625,13.65625,6.09375,20.15625,15.1875,2.0625
16.0625,2.625,14.21875,13.84375,5.71875,20.53125,14.90625,2.09375
16.375,2.59375,13.53125,13.9375,5.96875,20.3125,14.96875,2.3125
16.5,2.6875,14.03125,13.8125,6.3125,19.6875,14.59375,2.375
17.0,2.53125,13.46875,13.25,6.125,20.1875,15.46875,1.96875
17.65625,2.875,13.3125,14.15625,6.25,19.375,14.71875,1.65625
15.6875,2.71875,13.6875,14.375,5.8125,20.75,14.625,2.34375
16.71875,2.59375,14.0,13.625,6.15625,20.28125,14.5625,2.0625
16.71875,2.53125,13.1875,14.4375,6.15625,20.375,14.28125,2.3125
16.75,2.8125,13.375,13.03125,6.25,20.3125,15.125,2.34375
16.53125,2.75,14.0625,13.21875,5.9375,20.4375,14.8125,2.25
15.46875,2.15625,14.34375,13.90625,7.03125,19.34375,15.40625,2.34375
16.75,2.75,13.78125,13.28125,5.90625,20.375,15.15625,2.0
15.84375,2.9375,14.46875,13.71875,6.21875,19.46875,15.34375,2.0
16.6875,2.75,13.5,13.96875,6.4375,19.65625,14.84375,2.15625
16.90625,2.90625,12.9375,13.8125,6.5625,20.0625,14.6875,2.125
16.375,3.09375,14.0,13.4375,5.84375,20.3125,14.90625,2.03125
17.0,2.40625,13.84375,14.1875,6.40625,19.59375,14.53125,2.03125
16.125,2.46875,13.875,13.71875,6.09375,20.5,15.03125,2.1875
16.09375,2.5,13.59375,13.21875,6.3125,20.5,15.25,2.53125
17.03125,2.53125,13.25,13.90625,6.15625,20.40625,14.6875,2.03125
16.34375,2.25,14.1875,13.09375,5.84375,20.40625,15.53125,2.34375
16.875,2.75,12.9375,13.5625,6.4375,20.34375,15.03125,2.0625
16.75,2.21875,14.1875,13.71875,5.8125,20.3125,15.0625,1.9375
16.21875,2.4375,13.96875,13.71875,5.875,20.40625,14.875,2.5
16.625,2.5625,13.59375,13.71875,5.875,20.28125,14.84375,2.5
16.25,2.375,14.1875,13.875,6.0625,20.25,15.0625,1.9375
16.5625,2.53125,14.8125,13.15625,6.65625,19.625,14.84375,1.8125
16.46875,2.5625,14.3125,12.9375,6.21875,20.1875,15.0,2.3125
16.25,2.6875,13.96875,13.375,6.375,20.125,14.875,2.34375
16.25,2.90625,13.125,14.21875,5.875,20.5625,14.8125,2.25
16.65625,2.4375,13.5,13.90625,6.0,20.4375,14.9375,2.125
16.625,2.59375,14.0,12.96875,6.40625,19.9375,15.28125,2.1875
16.5625,2.6875,14.125,13.9375,6.9375,19.0625,14.46875,2.21875
17.1875,2.40625,13.8125,13.6875,6.0,20.125,14.71875,2.0625
16.6875,1.71875,14.4375,14.1875,5.84375,20.03125,14.9375,2.15625
16.8125,2.53125,13.21875,13.4375,6.03125,20.78125,14.65625,2.53125
16.71875,2.78125,13.3125,13.8125,5.90625,20.25,14.8125,2.40625
16.375,2.28125,15.03125,13.1875,6.3125,20.0625,15.125,1.625
17.0625,2.375,13.6875,13.59375,6.15625,20.25,14.8125,2.0625
16.21875,2.5,14.09375,14.09375,5.71875,19.84375,15.1875,2.34375
16.34375,2.4375,13.96875,13.40625,6.0625,20.625,15.03125,2.125
16.5625,2.71875,13.6875,13.6875,6.03125,20.03125,15.03125,2.25
16.5,2.875,12.78125,14.40625,6.28125,20.09375,14.875,2.1875
16.9375,2.53125,14.6875,13.9375,6.4375,19.0,14.3125,2.15625
16.1875,2.75,13.875,13.8125,5.78125,20.46875,15.0,2.125
16.40625,2.625,14.03125,13.28125,6.46875,20.1875,15.125,1.875
16.21875,2.4375,14.96875,13.96875,6.625,19.625,14.21875,1.9375
16.65625,2.40625,12.875,14.0625,6.21875,20.625,14.71875,2.4375
16.84375,2.625,13.84375,13.4375,6.59375,19.75,14.75,2.15625
16.125,2.375,14.3125,13.75,6.125,20.1875,15.21875,1.90625
16.4375,2.25,14.09375,14.0625,6.03125,19.96875,14.71875,2.4375
16.28125,2.75,13.9375,13.40625,6.15625,20.46875,15.03125,1.96875
16.71875,2.34375,13.59375,13.75,6.53125,20.15625,14.875,2.03125
17.375,2.5,13.65625,13.1875,6.34375,20.125,14.90625,1.90625
16.5625,2.34375,13.1875,14.6875,6.0625,19.8125,15.0,2.34375
16.34375,2.6875,13.71875,14.59375,6.34375,19.46875,14.5625,2.28125
16.625,2.375,13.75,13.0,6.46875,20.6875,14.8125,2.28125
17.09375,2.71875,13.46875,14.375,5.84375,19.96875,14.34375,2.1875
17.03125,2.71875,13.0,13.875,6.46875,20.0625,14.8125,2.03125
17.1875,2.75,13.71875,13.75,6.6875,19.46875,14.53125,1.90625
16.40625,2.40625,14.25,14.46875,5.3125,20.59375,14.46875,2.09375
16.34375,2.8125,13.21875,14.65625,6.375,19.5625,14.875,2.15625
16.28125,2.59375,14.09375,14.0,5.71875,20.3125,15.0,2.0
16.4375,2.65625,13.3125,14.25,6.5625,19.46875,14.625,2.6875
16.3125,2.8125,13.40625,14.8125,5.59375,20.125,14.625,2.3125
16.28125,2.65625,13.6875,13.96875,6.34375,19.53125,15.3125,2.21875
16.8125,2.5,14.46875,13.1875,7.0,19.25,14.625,2.15625
16.75,2.75,14.03125,13.625,6.4375,19.59375,14.59375,2.21875
16.5625,2.8125,13.59375,14.375,5.375,20.375,14.75,2.15625
16.15625,2.125,14.8125,13.28125,6.34375,20.0,15.0625,2.21875
16.375,2.75,13.3125,13.75,6.5625,20.0,14.96875,2.28125
16.65625,2.53125,14.28125,13.53125,6.03125,19.90625,15.0,2.0625
16.46875,2.40625,13.59375,13.375,6.1875,20.375,15.3125,2.28125
16.9375,2.71875,13.53125,13.03125,6.6875,20.21875,14.96875,1.90625
16.0625,3.0625,12.71875,14.09375,6.1875,20.0,15.125,2.75
16.75,2.78125,13.28125,13.375,6.6875,19.90625,14.8125,2.40625
16.375,2.71875,13.75,13.71875,5.5625,20.65625,15.125,2.09375
17.09375,2.28125,13.46875,14.40625,6.15625,20.34375,14.46875,1.78125
16.78125,2.46875,13.71875,13.21875,6.96875,19.46875,15.03125,2.34375
16.90625,3.0,12.90625,13.78125,5.875,20.40625,14.9375,2.1875
